title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Monster Math Squad,2012,Ongoing,Animation,"Monster Math Squad stars MAX, LILY and GOO. The Squad love nothing better than to put their monster minds together and use their math skills to overcome any obstacle they face.",5.8,34,30,"Julie Sype, Jenna Warren, Cory Doran, Annick Obonsawin"
True: Terrific Tales,2020,Ongoing,"Animation, Family","Through the magic of the Story Spinner, True and her friends create their own versions of Pinocchio, Little Red Riding Hood and other classic tales.",5.5,16,,"Michela Luci, Anna Claire Bartlam, Eric Peterson, Jamie Watson"
Totenfrau,2022,Ongoing,"Drama, Thriller",Female driven revenge thriller based on the eponymous novel by Bernhard Aichner.,,,,"Romina Küper, Felix Klare, Anna Maria Mühe, Robert Palfrader"
After Trek,2017,2018,Talk-Show,"Review of each episode of Star Trek Discovery with discussion about the show with the creators, producers and cast. Showcases insight into the back story and the main characters as well as revealing Easter eggs.",4.9,252,48,"Matt Mira, Sonequa Martin-Green, Aaron Harberts, Doug Jones"
"Crazy, Lovely, Cool",2018,Ongoing,Romance,"CRAZY, LOVELY, COOL is a coming-of-age TV series that takes a fond look at the lives, joys and struggles of a group of charismatic students whose paths cross on the campus of Nigeria's ...",7.8,27,50,"Adesua Etomi-Wellington, Lorenzo Menakaya, Enyinna Nwigwe, Zynnell Zuh"
Ainori Love Wagon: African Journey,2020,Ongoing,Reality-TV,,7.1,79,,"Becky, Ryô Katô, Karina Maruyama"
Bogdan Boner: Egzorcysta,2020,Ongoing,"Comedy, Animation","No demon is safe as Bogdan Boner, the alcohol-loving, self-taught exorcist-for-hire, returns with more inventive, obscene and deadly deeds.",7.5,45,12,Bartosz Walaszek
Niquelao!,2019,Ongoing,Reality-TV,"Patisserie Chef Christian Escribà co-presents this Spanish cooking competition, bake-off style.",5.5,84,,"Pepa Charro, Christian Escribà, Jordi Cruz, Paula Gonu"
Bangkok Breaking,2021,Ongoing,"Action, Crime, Drama","Newly arrived in Bangkok, Wanchai joins the road rescue service and unravels a city-wide conspiracy with the help of a journalist.",,,,"Sahajak Boonthanakit, Suda Chuenban, Daweerit Chullasapya, Pavarit Mongkolpisit"
Green Door,2019,Ongoing,"Comedy, Drama, Horror","A troubled psychologist returns from the U.S. and sets up a clinic in Taiwan, where mysterious patients and uncanny events shed light on his murky past.",6.3,117,,"Jam Hsiao, Bea Hayden Kuo, Enno Cheng, Wan-Ru Zhan"
Endless Night,2022,Ongoing,Fantasy,,,,,"Hanane El Yousfi, Chine Thybaud, Théo Augier"
Warrior,2018,Ongoing,"Crime, Drama",A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.,7.8,22,,
Magic for Humans by Mago Pop,2021,Ongoing,"Comedy, Reality-TV","In this Spanish adaptation of ""Magic for Humans,"" folks of all ages on the streets of Barcelona are amazed by tricks that inspire delight and wonder.",6.4,59,23,"Antonio Díaz, Cristina López Pérez, Paco Plaza"
Locombians,2021,Ongoing,Comedy,"4 Colombian comedians, 4 specials. We will discover the funny way these comedians see life.",3.4,12,,"Freddy Beltrán, Diego Camargo, Catalina Guzmán, Pamela Ospina"
Kiko,2014,Ongoing,"Animation, Adventure, Comedy","In an underwater town, a cheerful fish-boy and his pals laugh, learn and play while a rival catfish and an eel cast problems their way.",7.8,47,30,"Sheylla Gonçalves, Victor Soares, Jo Pratta, Sani Oktania"
Nailed It! Germany,2020,Ongoing,Reality-TV,"Home cooks try -- and inevitably fail -- to re-create spectacular confections on this comical competition show, all for a sweet 5,000 euros.",5.8,89,,"Angelina Kirsch, Bernd Siefert"
Shopkins,2014,Ongoing,Animation,,3.8,34,,"Kate Murphy, Deborah Gatton, Kayli Mills"
YG Future Strategy Office,2018,Ongoing,Comedy,"Sitcom taking place inside the newly formed Future Strategy Office, where trouble-making employees are sent.",7.0,194,,"Amy Aleha, Kim Ga-eun, Kim Jinwoo, Jai-jin Lee"
Super Bheem,2017,Ongoing,Animation,,4.7,18,,
The Lying Life of Adults,2022,Ongoing,Drama,"A girl in search of her true reflection in a divided Naples: the Naples of the heights, which assumes a mask of refinement, and the Naples of the depths, a place of excess and vulgarity.",,,,
Art of Flight: The Series,2012,Ongoing,Documentary,"A seven-episode TV series that focuses on the production of The Art of Flight. We follow the crew through locations including Patagonia, Jackson Hole, Alaska and Revelstoke.",8.8,189,,"Mark Landvik, Curt Morgan, Travis Rice, Scotty Lago"
Battle Kitty,2022,Ongoing,"Animation, Action, Adventure","It's small. It's fluffy. It rocks a fierce pink bow. It's no ordinary kitty. It's Battle Kitty, and Kitty is using its super-strength, monster battling intuition, and amazing accessories to unlock a new battle ground.",,,,
Gabru: Hip Hop Ke Shehzaade,2018,Ongoing,"Music, Musical",,6.5,7,,"Sandeep Kumaar, Devika Vatsa, Rishi Hapawat, Shashank Qazi"
Ladies Up,2020,Ongoing,Comedy,"Rising India-based comics Prashasti Singh, Kaneez Surka, Supriya Joshi and Niveditha Prakasam bring no-holds-barred humor to this stand-up series.",4.3,205,,"Supriya Joshi, Niveditha Prakasam, Prashasti Singh, Kaneez Surka"
Bangkok Love Stories: Hey You,2018,Ongoing,Drama,A loving couple becomes rivals when Belle opens a fusion bistro next to her ex-boyfriend Kram's traditional restaurant in Bangkok's chic Ari district.,5.9,11,,"Patharamanop Isariy, Kacha Nontanan Anchuleepradit, Wanida Termthanaporn, Meiko Chonnikan Netjui"
The Mekong River with Sue Perkins,2014,Ongoing,Documentary,"Sue Perkins visits Vietnam Nam, Cambodia, Laos and China along the Mekong River and meets various folk along the way and witnesses how deforestation and illegal wildlife trade affect these countries.",7.8,110,,Sue Perkins
Bangkok Love Stories: Objects of Affection,2019,Ongoing,Drama,,5.8,22,,"Kanokchat Manyaton, Apinya Sakuljaroensuk"
Sing On! Germany,2020,Ongoing,"Game-Show, Music, Reality-TV","In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.",5.5,117,,"Palina Rojinski, Julius Chezame, Coco Corrah, Gavin-Viano Fabri"
The Hollywood Masters,2017,Ongoing,"Documentary, Biography",Personal. Provocative. Hollywood's greatest successes reveal the secrets behind their careers.,7.3,75,,"Stephen Galloway, Stephen Galloway, Amy Adams, Judd Apatow"
Vai Anitta,2018,2020,"Documentary, Reality-TV",Go behind the scenes with Brazilian superstar Anitta as the singer reveals how she's consolidating her international career.,5.5,432,30,"Anitta, Paulo Pimenta, Sam Shahidi, Arielle Macedo"
Motel Makeover,2021,Ongoing,Reality-TV,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.",,,,
Zombie Dumb,2019,Ongoing,"Animation, Adventure, Comedy",,6.0,17,,
The Calling,2018,2019,Reality-TV,Three people compete in travel show across India for a chance to win scholarship.,8.1,11,30,
¡A cantar!,2020,Ongoing,"Game-Show, Music","Six people compete for a 30,000 euro reward by singing popular songs.",6.2,118,39,"Ricky Merino, Barbara Orti, Gianni Calchetti, Maysa Monção"
Snack World,2017,Ongoing,Animation,"Welcome to SNACK WORLD! This is a nutty universe filled with dreams and adventures. Here, you can find everything from dragons to smart devices to Chup, the hyperactive hero of this story.",3.9,10,25,"Tyler Bunch, Brock Powell, Valin Shinyei, Cristina Valenzuela"
Chronicles of a Champion Golfer,2016,Ongoing,"Documentary, Sport","A sports documentary of the most iconic performances at The Open Championship, one of golf's most prestigious tournaments on the PGA tour. A selective group of legendary champions of the ...",8.1,36,30,"Darren Clarke, Ernie Els, Jack Nicklaus, Greg Norman"
Nasce Uma Rainha,2020,Ongoing,Reality-TV,What happens when two godmothers decide to help aspiring drag queens and drag kings?,6.5,131,,"Phillip Jordan, Gloria Groove, Alexia Twister, Silvero Pereira"
Untitled Ayrton Senna Netflix Project,2022,Ongoing,"Biography, Drama, Sport","Fictional miniseries based on the life of Ayrton Senna da Silva, the Brazilian racing legend who won the Formula One World Drivers' Championship three times.",,,,
Chiamatemi Francesco,2016,Ongoing,"Biography, Drama",A segment of Father Jorge Bergoglio's journey to papecy in a country torn apart by Argentine military dictator Jorge Rafael Videla.,7.5,159,,"Rodrigo De la Serna, Mercedes Morán, Muriel Santa Ana, Rafael Federman"
Angel 'n' Devil,2014,2015,Fantasy,"At every turn, evil threatens to overtake good and rule the world. In a world known as the Copper Dimension, the K.O. Bad Girls are their last hope to fight off demons and other evil ...",4.9,33,50,"Lucia Chen, Teddy Chen, Cosmos Lin, Yu-Fei Wen"
"Wetten, dass war's..?",2019,Ongoing,Talk-Show,"In his farewell show, legendary German host Frank Elstner digs deep and savors his discussions with stars such as Daniel Brühl and Lena Meyer-Landrut.",7.6,75,,"Frank Elstner, Jan Böhmermann, Giovanni di Lorenzo, Helene Fischer"
Nailed It! France,2019,Ongoing,Reality-TV,"On this fun and funny competition show, home bakers talented in catastrophe struggle to re-create dessert masterpieces and win a 5,000 euro prize.",6.5,100,,"Victor Artus Solaro, Noémie Honiat"
Learning Time with Timmy,2018,Ongoing,"Animation, Family","Discover new words and join in the activities with Timmy and his friends in this fun learning series developed by Aardman and the British Council, world expects in teaching English.",6.6,14,,"Saskia Portway, Kate Harbour"
Mighty Little Bheem: Kite Festival,2021,Ongoing,"Animation, Comedy, Family",,8.5,12,,"Aranya Kaur, Nishka Raheja, Samriddhi Shukla"
Shelldon,2008,Ongoing,"Animation, Family",The adventures of a shellfish named Shelldon and his friends Herman and Connie.,5.8,36,22,"Jason Kesser, Samuel Sadovnik, Lee Tockar, Michael Daingerfield"
Guru Aur Bhole,2017,Ongoing,Animation,,4.4,16,,
Mighty Little Bheem: Festival of Colors,2020,Ongoing,Animation,"From surprising stage performances to spraying colors with friends, join baby Bheem for all his Holi hijinks during the special spring festival.",6.9,34,,
Mighty Little Bheem: Diwali,2019,Ongoing,Animation,"From decorating his home to devouring sweets, Bheem makes merry -- and a bit of mischief -- with the festival of lights in full swing.",7.5,34,,
Khan: No. 1 Crime Hunter,2018,Ongoing,Mystery,"Inspector Khan is a witty, smart, and well-experienced crime hunter, who specializes in solving scams involving people who have chosen the criminal life as a solution to their problems.",5.6,47,43,"Rajesh Sharma, Surbhi Sehgal, Sonam Arora, Pitobash"
Answer for Heaven,2019,Ongoing,Drama,"The humans on Earth, aren't doing enough good actions. Tep is an angel, who descends from heaven to learn why. In Bangkok he finds Ad a journalist that helps him. Ad works for a news station and helps the police investigate various crimes.",5.9,9,,
Inst@famous,2018,Ongoing,Reality-TV,,3.9,24,,"Andrea Espada, Jujimufu, Allie Kaplan, Lexie Kaplan"
Cocomong,2008,Ongoing,Animation,"A little sausage becomes a monkey, an egg becomes a rabbit, a radish becomes a hippo, a cucumber becomes a crocodile and a carrot becomes a donkey. These unique characters express the fun ...",4.3,8,,
Word Party Songs,2020,Ongoing,"Animation, Family","Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove.",3.2,14,,
The Honeymoon Stand-Up Special,2018,Ongoing,Comedy,Husband-and-wife comics Moshe Kasher and Natasha Leggero share their terror and reluctance on becoming new parents; she wonders why men are needed at this point; he recalls a story from his...,6.9,484,31,"Moshe Kasher, Natasha Leggero"
Tamiô,2015,Ongoing,Comedy,"One day, the current prime minister of Japan, Muto Taizan, and his useless son, Sho, suddenly discover that they have switched bodies. With no known cause or solution at hand, Sho ...",6.1,197,54,"Ken'ichi Endô, Masaki Suda, Yuika Motokariya, Ji-young Kang"
The Inexplicable Universe: Unsolved Mysteries,2012,Ongoing,Documentary,Everything we now know about the universe-from the behaviour of quarks to the birth of entire galaxies-has stemmed from scientists who've been willing to ponder the unanswerable.,8.4,277,,Neil deGrasse Tyson
Tokyo kaiki zake,2021,Ongoing,Horror,,5.0,6,,"Yôsuke Sugino, Borsalino Seki, Amane Okayama, Suzuyuki Kaneko"
Super Monsters Monster Pets,2019,Ongoing,Animation,,6.1,29,,Sabrina Pitre
Single Tokyo Man,2019,Ongoing,Drama,"Three Japanese men in their thirties and forties are professionals working in law, dentistry and banking. The friends are trusting of one another and enjoy each others' fellowship. Aside ...",5.5,111,,"Mayu Miyamoto, Lisa Naitô, Riisa Naka, Seiji Nozoe"
Mexico Diseña,2016,Ongoing,"Game-Show, Reality-TV",Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.,5.6,6,25,"Renato Lopez, Emilio Aguado, Claudia Cándano, Manuel Díaz"
CoComelon Lane,2022,Ongoing,"Animation, Comedy, Family",The adventures of JJ and his friends as they experience life as little kids.,,,7,
Droppin' Cash: Los Angeles,2018,Ongoing,Reality-TV,Ball out with your favorite artists and athletes in LA as they drop crazy cash on the stuff we all dream about.,3.5,110,,"Alfredo Flores, Xion Michelle, Toni Romiti, Brynda Rowen"
Popples,2015,2016,Animation,Popples is an animated high-energy children's comedy series about an amazing species of creatures that can pop into and out of a ball. The story is driven by the optimistic comedic ...,6.0,52,,"Erin Fitzgerald, Cassandra Lee Morris, Grant George, Cindy Robinson"
Heart of Invictus,2022,Ongoing,"Documentary, Sport","Follow a group of competitors, from around the globe, all service members who have suffered life-changing injuries or illnesses, on their road to the Invictus Games The Hague",,,,Prince Harry
CCTV: Caught on Camera,2014,Ongoing,Reality-TV,"The residents of Southampton's 19 council-owned tower blocks are monitored by CCTV 24 hours a day. It is the life on both sides of the lens, meeting both the tenants whose lives are under constant surveillance, and the CCTV operators.",,,43,
Days of Disaster,2015,Ongoing,"Documentary, Drama",,,,,Remesh Panicker
Lostorage incited Wixoss,2016,Ongoing,"Animation, Drama, Fantasy","High school student Homura Suzuko has returned to Ikebukuro, the town where she grew up. ""We're friends forever!"" She treasures her memories of her old friend from when she was little, ...",5.6,39,24,"Chinami Hashimoto, Yuka Iguchi, Kana Asumi, Saori Gotô"
